student_id,age,gender,state,city_tier,college_tier,branch,degree,cgpa,backlog_history,attendance_percentage,primary_language,DSA_problems_solved,GitHub_repos,hackathons_participated,development_projects_count,AI_ML_projects,internships_completed,resume_score,communication_skills,aptitude_score,mock_interview_score,sleep_hours,screen_time,gaming_hours,study_hours_daily,stress_level,burnout_score,gym_frequency,family_income_lpa,self_learning_hours,motivation_level,placement_status,company_type,work_mode,salary_lpa,interview_rounds_cleared,offer_count,joining_delay_months,layoffs_risk_score,AI_tool_usage_frequency,prompt_engineering_skill,AI_fear_score,adaptability_score,coding_score,ai_readiness_score,wellness_score,interview_readiness,placement_status_enc
0,-0.29734068453860224,1,2,-1.4376214778973024,-0.48768737463367745,2,2,-0.8875970981832279,3.124927543792991,-0.24531764182456842,0,0.07378534088460284,-0.9424147482436692,-0.3337849963384994,-0.5306192125852791,-1.462366038549216,-1.0925739093569184,-2.0636242090841073,1.0198046345616083,1.3864721660745334,,-0.3380371178780102,0.3505308345297215,-0.6410412931106213,0.1722138747861159,0.8391965074074385,-0.5952459904637272,-1.500729970283815,-0.6830067375603163,-0.9426654989519564,-0.63356258494707,Placed,3,2,-0.38803456751792464,0.710646309361935,-1.1447300413759334,-0.26576884422723207,1.800945958148165,-0.22340104508735414,-0.32289181599862393,-1.2915348665031507,1.1067275069768232,5.43,11.53,-3.17,,1
1,-1.4690804565223763,1,4,-0.13585260008816163,0.8893381918720762,0,1,-1.5612949059995713,-0.5776517352552456,0.6486238787697199,5,-0.22224571599231288,-0.2916125234291393,-0.8785444237090755,0.22929716897070174,-0.9307202984490154,1.8267484511581258,0.9771033345765117,-2.013238339122926,1.1680076149128533,-0.16785899553183542,-0.7193273306013862,0.6007855896869579,-1.4770242600114705,-1.3026372296361763,-0.12138285245716428,0.7560246789456152,1.4970127692867476,-1.2250643541689188,0.2756617747706644,0.8600483096988311,Placed,0,1,-0.18541002897143632,0.01897934159551062,1.2218815802406333,-1.431626206164555,1.3376947570088293,0.3437270707011598,-0.5031037984357187,0.4777103670105736,0.7721585007805356,6.195,9.08,-1.285,84.25,1
2,0.2885292014532848,0,6,1.165916277720979,-0.48768737463367745,2,1,-0.41482670673316213,-0.5776517352552456,0.2669409823362026,2,0.2178004496355348,1.2269260011380974,0.21097443103207678,1.369171741304673,1.1958626619517871,0.07515503484909927,0.9771033345765117,0.652163061993786,0.1485063761583461,-0.09380977894985626,-1.1006175433247614,0.650836540718406,-1.5367373290758168,-0.34077781370859433,-0.3741668945267966,0.30560112247583443,0.9973889793583205,-0.9722469677664876,-0.33350186209064603,-1.312476627967934,Placed,3,2,0.7240442952023374,-1.364354593937338,1.2218815802406333,-0.8486975251958936,2.925984589486552,0.49839837500711814,0.3979561137497552,0.22496104793718447,-2.03822115126828,9.72,7.47,-0.985,88.3,1
3,1.4602689734370589,1,3,-0.13585260008816163,0.8893381918720762,1,1,-0.06024891314561329,-0.5776517352552456,-0.8781077069643448,5,-0.07823060724138091,-0.4000795608982276,0.21097443103207678,0.22929716897070174,1.1958626619517871,0.07515503484909927,0.09867093307455509,1.295535813987475,1.09518609785896,1.3131253361077475,0.32922075438789733,0.8510403448441948,-0.10362367153150406,-0.02015800839940037,-0.3741668945267966,-0.20112537855266902,-0.5014823904269609,-0.8115579509852813,-0.18121095287531824,-0.15832275483246508,Placed,1,2,0.43895628166599954,-0.6726876261709137,-1.1447300413759334,-0.26576884422723207,0.609728583789873,-0.7905291608758681,0.27781479212502536,0.8315594137133185,-1.23525553639719,7.585,7.63,-1.155,96.4,1
4,1.4602689734370589,0,7,1.165916277720979,0.8893381918720762,1,0,0.9798459480445293,-0.5776517352552456,-0.13483048759381433,2,2.714062334651689,-0.7254806733054926,-1.4233038510796516,-1.6704937849192503,-0.9307202984490154,-1.0925739093569184,-1.1851918075821508,1.295535813987475,0.22132789321223947,-1.0564495945155852,-1.1959400965056057,-0.04987677372185742,0.6129331572406524,1.5829410181465688,-0.7280645534242818,1.3190541245328413,-0.5014823904269609,0.8403251415255193,0.7325345024166477,-0.22621415913455148,Placed,3,1,0.36827330310327083,1.4023132771283593,1.2218815802406333,1.4830171986787524,-0.7800250196281343,-0.12028684221671523,0.3979561137497552,1.337058051860097,-1.369083138875705,6.68,7.17,-0.725,80.0,1
5,0.8743990874451718,1,6,1.165916277720979,0.8893381918720762,3,0,-0.6630311622444464,-0.5776517352552456,0.21671954859495052,4,0.3138105221361561,-1.1593488231818458,-1.4233038510796516,-0.15066102180728866,0.13257118175138594,0.07515503484909927,0.5041012722293042,0.1007007031420525,0.36697092732002623,-0.9083511613516269,-0.5286822242396982,0.1503270304039318,0.6129331572406524,-0.14840593052307807,-1.1325190207356934,0.5871158452694474,-1.001106180355388,0.904600748238002,-0.25735640748298216,0.4526998838863126,Placed,3,0,-0.32441988681146905,1.4023132771283593,0.03857576943234999,-0.8486975251958936,-0.7138462766082292,0.3437270707011598,0.27781479212502536,0.022761592678473105,0.9059861032590506,5.88,10.99,-0.095,82.85,1
6,-1.4690804565223763,0,2,-0.13585260008816163,0.8893381918720762,2,0,0.23523258151067755,3.124927543792991,1.2211482234199929,2,1.1618994958916444,-0.4000795608982276,-0.3337849963384994,0.6092553597486922,0.13257118175138594,1.242883979055117,0.9771033345765117,0.1926110962840081,-1.3079239649195213,-0.7602527281876685,-2.4351332878565763,0.4005817855611687,0.6726462263049989,-1.1743893075124985,-1.9919847637724433,2.332507126589848,-1.001106180355388,-0.8672634768027663,2.1031526853545963,-0.3619969677387243,Placed,2,0,0.973790819457312,-0.6726876261709137,0.03857576943234999,1.4830171986787524,-0.31677381848879854,0.9624122879249932,1.1788747043104995,0.37661063938121797,1.6420379168908832,7.81,13.02,1.035,79.35,1
7,0.8743990874451718,0,1,-0.13585260008816163,0.8893381918720762,2,2,-1.7504030625795965,-0.5776517352552456,0.0057895268816921825,3,-0.9263195809968692,-0.508546598367316,0.755733858402653,-0.5306192125852791,-1.462366038549216,-0.5087094372539096,0.9771033345765117,1.295535813987475,0.22132789321223947,1.0169284697798309,-0.9099724369630742,0.1503270304039318,-1.417311190947124,0.621081602218987,0.5358556569238797,-0.0322165448765012,-0.0018586004985337216,1.6587678669977968,-1.247247317382612,2.0820935871363866,Placed,0,0,-1.7852014437745252,1.4023132771283593,1.2218815802406333,-1.431626206164555,-1.9712423939864263,0.2921699692658404,-1.223951728184098,-0.22998772639491608,-0.49920372276535724,5.605,7.06,-2.485,94.8,1
8,-1.4690804565223763,1,2,-0.13585260008816163,0.8893381918720762,1,0,-0.8994163579694793,-0.5776517352552456,-1.541030632348873,5,-0.574282648494591,1.769261188483539,-0.8785444237090755,1.369171741304673,2.2591541421521883,1.242883979055117,0.9771033345765117,-0.9103136214194589,-0.21560120911112077,-0.39000664527777285,-0.6240047774205417,2.0022122185674847,-0.760467431239314,-1.0461413853888215,-0.02026923562931136,-1.8339107707556244,0.4977651894298934,-1.1179383429814478,-0.1050654982676547,1.1995053312092632,Placed,2,1,0.3989025938137863,-1.364354593937338,1.2218815802406333,0.9000885177100909,0.7420860698296833,0.3437270707011598,2.380287920557798,0.8821092775279964,0.5045032958235055,9.825,13.16,-1.755,81.6,1
9,0.2885292014532848,1,0,1.165916277720979,0.8893381918720762,0,1,-0.5566578241681819,-0.5776517352552456,0.8695981872312281,2,0.9938818690155571,-0.833947710774581,-0.3337849963384994,-1.29053559414126,-0.9307202984490154,0.07515503484909927,-0.10404423650281952,0.008790310000096913,-1.1622809308117348,0.054288654214102026,-0.052069458335478644,-0.3001315288790943,-0.4021890168532359,0.1722138747861159,-0.8291781702521347,1.0938423462979507,-1.500729970283815,-1.2229218339451693,0.6563890478089834,-0.5656711806449836,Placed,3,0,0.010146211718779717,-1.364354593937338,-1.1447300413759334,1.4830171986787524,-2.302136109085952,1.4264262008428683,-0.6833157808728135,0.022761592678473105,0.37067569334499045,6.055,8.75,-0.455,79.45,1
