cgpa,college_tier,branch,coding_score,ai_readiness_score,interview_readiness,internships_completed,offer_count,interview_rounds_cleared,company_type
0.8734726099682648,-1.864712941139431,1,4.585,12.24,86.60000000000001,-0.5087094372539096,-1.1447300413759334,0.710646309361935,1
-0.23753780993938822,0.8893381918720762,4,9.055,11.53,97.75,0.07515503484909927,0.03857576943234999,1.4023132771283593,1
0.8616533501820134,-1.864712941139431,0,4.835,9.57,81.65,-1.0925739093569184,0.03857576943234999,-1.364354593937338,2
0.12885924343441302,0.8893381918720762,1,5.94,5.65,91.75,0.07515503484909927,-1.1447300413759334,1.4023132771283593,1
-0.6866696818169502,-0.48768737463367745,1,4.575,10.45,83.4,0.07515503484909927,-1.1447300413759334,0.01897934159551062,1
0.6961837131744919,-1.864712941139431,2,6.665,8.06,90.1,0.07515503484909927,-1.1447300413759334,-0.6726876261709137,1
0.6016296348844777,-0.48768737463367745,2,4.055,5.81,86.75,-1.0925739093569184,0.03857576943234999,1.4023132771283593,1
0.8734726099682648,-1.864712941139431,4,8.665,8.09,81.65,-1.0925739093569184,1.2218815802406333,0.01897934159551062,2
0.22341332172442618,-1.864712941139431,0,7.97,11.47,91.55,-0.5087094372539096,0.03857576943234999,-0.6726876261709137,1
-0.82850079925197,0.8893381918720762,1,5.51,9.04,83.65,-1.0925739093569184,0.03857576943234999,-1.364354593937338,2
0.6961837131744919,-0.48768737463367745,1,9.755,11.37,89.0,1.8267484511581258,1.2218815802406333,1.4023132771283593,2
0.4243407380907039,0.8893381918720762,0,7.905,9.2,78.6,-0.5087094372539096,1.2218815802406333,0.710646309361935,2
0.04612442493065124,0.8893381918720762,5,9.09,12.55,86.2,0.07515503484909927,0.03857576943234999,0.01897934159551062,1
0.010666645571896047,-0.48768737463367745,0,5.515,8.72,80.65,-1.0925739093569184,0.03857576943234999,0.710646309361935,2
2.2917837843184623,0.8893381918720762,1,7.48,7.56,94.85,0.07515503484909927,1.2218815802406333,-0.6726876261709137,3
0.5898103750982263,-1.864712941139431,2,5.685,14.0,90.6,-1.0925739093569184,1.2218815802406333,0.01897934159551062,3
-0.5212000448094277,0.8893381918720762,2,6.87,11.99,85.5,0.07515503484909927,1.2218815802406333,0.01897934159551062,3
0.21159406193817373,-1.864712941139431,4,6.535,7.8,80.75,-0.5087094372539096,0.03857576943234999,0.01897934159551062,0
-1.4431023081370544,-0.48768737463367745,2,6.815,10.36,78.05,-0.5087094372539096,1.2218815802406333,1.4023132771283593,2
0.7789185316782516,-1.864712941139431,5,8.755,10.87,93.3,-0.5087094372539096,0.03857576943234999,-1.364354593937338,0
-0.0838874327181171,0.8893381918720762,0,9.605,9.07,90.2,0.07515503484909927,-1.1447300413759334,0.710646309361935,2
-1.6558489842895845,0.8893381918720762,3,6.435,9.08,83.64999999999999,0.07515503484909927,-1.1447300413759334,0.710646309361935,1
-0.07206817293186468,0.8893381918720762,3,11.335,11.81,88.7,2.4106129232611346,-1.1447300413759334,0.01897934159551062,2
-0.012971874000606717,0.8893381918720762,5,7.99,10.74,70.7,-0.5087094372539096,0.03857576943234999,-1.364354593937338,3
0.8261955708232592,0.8893381918720762,5,8.885,11.1,86.85000000000001,0.6590195069521081,-1.1447300413759334,-1.364354593937338,2
-1.0057896960457438,0.8893381918720762,2,5.335,9.69,82.45,-1.0925739093569184,1.2218815802406333,-1.364354593937338,2
